"Root","Role","Count"
"v2 karsilastirma.md"," documentation","1"
"v2 ile yazilabilecek programlar.md"," documentation","1"
"uxminimabilgi.md"," documentation","1"
"uxm31_runtime_fb.bas"," runtime","1"
"uxm31_runtime_fb_full.bas"," runtime","1"
"uxm31_full_tool_fb.bas"," other","1"
"uxm31_full_tool_fb_2.bas"," other","1"
"uxm31_FULL_FINAL_REAL"," test","35"
"uxm31_FULL_FINAL_REAL"," documentation","20"
"uxm31_FULL_FINAL_REAL"," ide_related","16"
"uxm31_FULL_FINAL_REAL"," other","15"
"uxm31_FULL_FINAL_REAL"," build_or_runner","6"
"uxm31_FULL_FINAL_REAL"," compiler","5"
"uxm31_FULL_FINAL_REAL"," runtime","4"
"uxm31_compiler_fb.clean.bas"," compiler","1"
"uxm31_compiler_fb.bas"," compiler","1"
"uxm_x64"," documentation","2"
"uxm_x64"," other","2"
"uxm_x64"," runtime","1"
"uxm_V3.1_Full_Final"," other","3"
"uxm_V3.1_Full_Final"," documentation","3"
"uxm_V3.1_Full_Final"," build_or_runner","2"
"uxm_V3.1_Full_Final"," compiler","1"
"uxm_v2_runtime.bas"," runtime","1"
"uxm_v2_compiler.bas"," compiler","1"
"ux-minima6502"," 6502_variant","1"
"ux-minima_6502_v2"," 6502_variant","8"
"ux-minima_6502_v2"," documentation","1"
"ux-minima x64 v3.1 qb64"," runtime","2"
"ux-minima x64 v3.1 qb64"," compiler","2"
"ux-minima x64 v3.1 qb64"," other","1"
"ux_minimax_ide_tasarimi_dusuncesi.md"," documentation","1"
"ux_minima_x64_v31_full"," test","35"
"ux_minima_x64_v31_full"," ide_related","16"
"ux_minima_x64_v31_full"," documentation","16"
"ux_minima_x64_v31_full"," build_or_runner","13"
"ux_minima_x64_v31_full"," runtime","2"
"ux_minima_x64_v31_full"," other","2"
"ux_minima_x64_v31_full"," compiler","1"
"ux_minima_x64_v31_full"," archived_or_deprecated","1"
"ux_minima_x64_v31_fb.zip"," archive_zip","1"
"ux_minima_x64_v31_fb"," test","19"
"ux_minima_x64_v31_fb"," documentation","16"
"ux_minima_x64_v31_fb"," ide_related","16"
"ux_minima_x64_v31_fb"," build_or_runner","3"
"ux_minima_x64_v31_fb"," compiler","2"
"ux_minima_x64_v31_fb"," runtime","2"
"ux_minima_x64_v31_fb"," other","2"
"uX_Minima_Kullanim Klavuzu.md"," documentation","1"
"ux_minima_IDE_vscode.md"," documentation","1"
"ux_minima_full v31.md"," documentation","1"
"run_tests.bat"," build_or_runner","1"
"run_final_probe.bat"," build_or_runner","1"
"kullanma klavuzu genisletme.md"," documentation","1"
"karsilastirma v2.md"," documentation","1"
"gercek_durum.md"," documentation","1"
"FILE_MANIFEST.txt"," other","1"
"build_one.bat"," build_or_runner","1"
"build_final_compiler.bat"," compiler","1"
"build_all.bat"," build_or_runner","1"
"bilgi.md"," documentation","1"
".vscode"," other","3"
