layer,action,source,target,status,note,sha256
base,COPY_TREE,C:\Users\mete\Downloads\UXMC\ucma\52 UXM_V33_V20_SRC_KLASORU\src,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src,OK,V20 temiz src mimarisi temel alındı.,
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_lexer_parser.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_lexer_parser.bas,OK,Stage12 gelişmiş native compiler split dosyası.,27689e29294a199a11b2a6b9cfe82f74b2f3afd5cf6e05b7f5a4d0504d9bec1b
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_addressing.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_addressing.bas,OK,Stage12 gelişmiş native compiler split dosyası.,b3eb726da223f5d92af39b8160397cc7e8200357a2740117fe26d44bc1389e51
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_meta_parse.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_meta_parse.bas,OK,Stage12 gelişmiş native compiler split dosyası.,20ad3d242cdc4f7f0f1aa187bbb0a83c7f5efe33954fad932888593199e001af
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_validation.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_validation.bas,OK,Stage12 gelişmiş native compiler split dosyası.,6cd9d3d8d8e0ff19b8aa44460af26b4b77b63f981ff6f1e3d217e1c6b1734db0
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_asm_emit.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_asm_emit.bas,OK,Stage12 gelişmiş native compiler split dosyası.,b36d0aa116fecbd8e223ed0ec45528882ba12bd33986eba8637731f781da3f64
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_main.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_main.bas,OK,Stage12 gelişmiş native compiler split dosyası.,53d6fe452308192f3cd636861dbc5a4376f94da015916c114af4580fbc498787
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\uxm31_compiler_fb.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\uxm31_compiler_fb.bas,OK,Patch öncesi Stage12 ana compiler header dosyası.,7c1915e351ce90347818fcff2b3a514ed74fac7bc8a7231a8d18bf842603e84a
compiler/native,COPY_FILE,C:\Users\mete\Downloads\UXMC\ucma\13 UXM_V33_STAGE12_tensor_advanced2_package\UXM_V33_STAGE12\uxm\core\compiler\native\native_cli.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_cli.bas,OK,Patch öncesi Stage12 CLI/memory dosyası.,c921c85e0cba9fc33dab58b28946da87c402ed1e12dd7550f45d46a405dcca57
compiler/native,PATCH,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\uxm31_compiler_fb.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\uxm31_compiler_fb.bas,OK,uxm31_compiler_fb.bas 64KB sabitleri + Stage12 gelişmiş deklarasyonları.,441c2e38e3322a85307e191478dac45f04db2c17c8be2001728693bc07eeca9d
compiler/native,PATCH,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_cli.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\compiler\native\native_cli.bas,OK,native_cli.bas 64KB Tape+Stack+Data invariantı.,2b4192e7ab855283992a8b13003af29c83e9ac07a840a02e1a60792a680396f9
runtime,PATCH,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\runtime\runtime_meta_dispatch.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\runtime\runtime_meta_dispatch.bas,OK,runtime_meta_dispatch.bas standalone End Extern temizliği.,b4a2bb7f0c9a4773dbf8a87a676add491333e86033768d3645b42ac0ecabf282
interpreter,WRITE_TEXT,<generated>,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\interpreter\interpreter_runtime_memory_64k.bas,OK,runtime_memory adapteri üretildi.,9a030200161cb6978bda728e716c392f22126fed2f636d622b4c84d7f2ee24c1
interpreter,WRITE_TEXT,<generated>,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\interpreter\interpreter_runtime_adapter_64k.bas,OK,runtime full adapteri üretildi.,8a65e0653d351c8fbfbcbf6adcf6370c905e7516d37fa948db05fbb49dc09816
interpreter,PATCH,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\interpreter\uxm_v20_interpreter.bas,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\src\interpreter\uxm_v20_interpreter.bas,OK,Interpreter 64KB adaptere bağlandı.,8cf52e1a7da009022a5fd906efecfbb1ce40fa3282e92e2a704a76e0b66dc1d7
vscode,COPY_TREE,C:\Users\mete\Downloads\UXMC\ucma\39 UXM_V33_STAGE17_20_V15_PACKAGE\vscode\uxm-dil-destegi-v11,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\tools\vscode_release\uxm-dil-destegi-v15,OK,Kurulabilir VSCode artifact.,
tests,COPY_TREE,C:\Users\mete\Downloads\UXMC\ucma\24 UXM_V33_FINAL_EXPECTED_TEST_SUITE\UXM_V33_FINAL_EXPECTED_TEST_SUITE\uxm\tests,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\tests\final_expected,OK,Final expected suite seçici kopya.,
tools,COPY_TREE,C:\Users\mete\Downloads\UXMC\ucma\47 UXM_V33_FINAL_RELEASE_GATE_V20_PACKAGE,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\tools\release_gate_v20,OK,V20 release gate araçları.,
tools,COPY_TREE,C:\Users\mete\Downloads\UXMC\ucma\50 UXM_V33_PS1_BAT_KOMUT_ONARIM_V22_PACKAGE,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\tools\ps1_bat_fix_v22,OK,V22 PS1/BAT onarım paketi.,
tools,WRITE_TEXT,<generated>,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\build_a64_gate.bat,OK,Windows build/gate betiği.,0e1ec03e9d2e8de31ea4ce6d506c3bc0ea393fbd628ee8b88b5db1562d81e2fa
tools,WRITE_TEXT,<generated>,C:\Users\mete\Downloads\UXMC\ucma\UXM_A_64K\tools\uxm_a64_static_gate.py,OK,Statik 64KB/placeholder kapısı.,b21c6d6e0f405a5f955e8453b9bde64d791247bec33ad787db8a6abcf6c2be52
